ID	COGID	CONCEPT	CONCEPTINSOURCE	DOCULECT	FORM	NOTE	PROTOSET	TOKENS	VALUE	SOURCE	ALIGNMENT	STRUCTURE	COGIDS
2443	291	*abajo	abajo	Huarayo	makʷa	None	255	m   a   k ʷ   a	makwaba		m   a   k ʷ   a	C 0 0 V 0 0 C 0 0 0 V	291
2439	291	*abajo	abajo	ProtoTakana	makʷa	None	255	m   a   k ʷ   a	makwa		m   a   k ʷ   a	C 0 0 V 0 0 C 0 0 0 V	291
2440	291	*abajo	abajo (dirección en que corre los ríos)	Tacana	makʷa	None	255	m   a   k ʷ   a	e-makwa-wa		m   a   k ʷ   a	C 0 0 V 0 0 C 0 0 0 V	291
330	49	*abeja	clase de abeja	Cavinena	atata	None	22	a   t   a   t   a	atata-waha		a   t   a   t   a	V 0 0 C 0 0 V 0 0 C 0 0 V	49
328	49	*abeja	abeja	ProtoTakana	atata	None	22	a   t   a   t   a	atata		a   t   a   t   a	V 0 0 C 0 0 V 0 0 C 0 0 V	49
329	49	*abeja	barbón (abeja chica)	Tacana	atata	None	22	a   t   a   t   a	atata		a   t   a   t   a	V 0 0 C 0 0 V 0 0 C 0 0 V	49
4412	476	*abeja,miel	miel de abeja	Cavinena	waha	None	468	w   a   h   a	waha		w   a   h   a	C 0 0 V 0 0 C 0 0 V	476
4406	476	*abeja,miel	abeja,miel	ProtoTakana	wasa	None	468	w   a   s   a	wasa		w   a   s   a	C 0 0 V 0 0 C 0 0 V	476
4410	476	*abeja,miel	bee,honey	Reyesano	waða	None	468	w   a   ð   a	wadha		w   a   ð   a	C 0 0 V 0 0 C 0 0 V	476
4411	476	*abeja,miel	miele	Sapibokona	βaɽa	None	468	β   a   ɽ   a	uvazaena		β   a   ɽ   a	C 0 0 V 0 0 C 0 0 V	476
4407	476	*abeja,miel	abeja	Tacana	wasa	None	468	w   a   s   a	wasa iře		w   a   s   a	C 0 0 V 0 0 C 0 0 V	476
4381	472	*abejo	abejo	Cavinena	wano	None	462	w   a   n   o	wano-wano		w   a   n   o	C 0 0 V 0 0 C 0 0 V	472
4379	472	*abejo	abejo	ProtoTakana	wanu	None	462	w   a   n   u	wanu		w   a   n   u	C 0 0 V 0 0 C 0 0 V	472
4380	472	*abejo	erereú (abeja)	Tacana	wanu	None	462	w   a   n   u	wanu-wanu		w   a   n   u	C 0 0 V 0 0 C 0 0 V	472
1929	226	*abrir	abrir (el libro)	EseEjja	ʃea	None	186	ʃ   e   a	šea-		ʃ   e   a	C 0 0 V 0 0 V	226
1930	226	*abrir	abrir	Huarayo	ʃea	None	186	ʃ   e   a	šea-		ʃ   e   a	C 0 0 V 0 0 V	226
1927	226	*abrir	abrir	ProtoTakana	ʃea	None	186	ʃ   e   a	jea-		ʃ   e   a	C 0 0 V 0 0 V	226
1928	226	*abrir	abrir	Tacana	ɽia	None	186	ɽ   i   a	řia-		ɽ   i   a	C 0 0 V 0 0 V	226
1598	191	*absolutive prefix	absolutive prefix	Cavinena	e	None	149	e	e-		e	V	191
1599	191	*absolutive prefix	absolutive prefix	EseEjja	e	None	149	e	e-		e	V	191
1596	191	*absolutive prefix	absolutive prefix	ProtoTakana	e	None	149	e	e-		e	V	191
1597	191	*absolutive prefix	absolutive prefix	Tacana	e	None	149	e	e-		e	V	191
522	65	*abuelo	chef du village	Araona	baba	None	33	b   a   b   a	baba xiodi	Créqui1922	b   a   b   a	C 0 0 V 0 0 C 0 0 V	65
524	65	*abuelo	antiguos,antecesores	Cavinena	baba	None	33	b   a   b   a	baba-kwana		b   a   b   a	C 0 0 V 0 0 C 0 0 V	65
529	65	*abuelo	grandfather	Chama	baba	None	33	b   a   b   a	bába		b   a   b   a	C 0 0 V 0 0 C 0 0 V	65
527	65	*abuelo	abuelo,suegro	EseEjja	baba	None	33	b   a   b   a	baba		b   a   b   a	C 0 0 V 0 0 C 0 0 V	65
519	65	*abuelo	abuelo	ProtoTakana	baba	None	33	b   a   b   a	baba		b   a   b   a	C 0 0 V 0 0 C 0 0 V	65
520	65	*abuelo	hombre viejo	Tacana	baba	None	33	b   a   b   a	baba		b   a   b   a	C 0 0 V 0 0 C 0 0 V	65
530	65	*abuelo	uncle	Tiatinahua	baba	None	33	b   a   b   a	bapba	Fast	b   a   b   a	C 0 0 V 0 0 C 0 0 V	65
2467	281	*achiote	achiote	Cavinena	matse	None	258	m   a   t s   e	e-mace		m   a   t s   e	C 0 0 V 0 0 C C 0 0 V	281
2464	281	*achiote	achiote	ProtoTakana	maʈʂe	None	258	m   a   ʈ ʂ   e	mace		m   a   ʈ ʂ   e	C 0 0 V 0 0 C C 0 0 V	281
2465	281	*achiote	achiote,urucú	Tacana	maʈʂe	None	258	m   a   ʈ ʂ   e	mace		m   a   ʈ ʂ   e	C 0 0 V 0 0 C C 0 0 V	281
660	85	*acomodar	acomodar,limpiar,componer	Cavinena	ba	None	49	b   a    	bahehe-		b   a   -   -	C 0 0 V 0 0 0 0	85
655	85	*acomodar	acomodar	ProtoTakana	basa	None	49	b   a   s   a	basa(i)-		b   a   s   a	C 0 0 V 0 0 C 0 0 V	85
656	85	*acomodar	acomodar,arreglar	Tacana	basa	None	49	b   a   s   a	basa-ita-		b   a   s   a	C 0 0 V 0 0 C 0 0 V	85
3228	364	*acompañar	amigo	EseEjja	pee	None	342	p   e     e	e-xa-pee-ki		p   e   -   e	C 0 0 V 0 0 0 0 V	364
3225	364	*acompañar	friend	Maropa	pere	None	342	p   e   r   e	eperéxe	Heath1883	p   e   r   e	C 0 0 V 0 0 C 0 0 V	364
3518	383	*acostar,echarse	nido,pañal	Cavinena	ha	None	374	h   a	e-ha		h   a	C 0 0 V	383
3521	383	*acostar,echarse	acostar,echarse	EseEjja	ha	None	374	h   a	haa-		h   a	C 0 0 V	383
3506	383	*acostar,echarse	acostar,echarse	ProtoTakana	sa	None	374	s   a	sa-		s   a	C 0 0 V	383
3507	383	*acostar,echarse	acostar,echarse	Tacana	sa	None	374	s   a	sa-ti-		s   a	C 0 0 V	383
1516	185	*adentro,en	interno	Cavinena	duku	None	140	d   u   k   u	e-duku-hu	Armentia1887	d   u   k   u	C 0 0 V 0 0 C 0 0 V	185
1517	185	*adentro,en	adentro,en	EseEjja	doxo	None	140	d   o   x   o	e-doxo-ho		d   o   x   o	C 0 0 V 0 0 C 0 0 V	185
1513	185	*adentro,en	of thy womb	Guariza	rusu	None	140	r   u   s   u	ec̹eme-rˈuzu		r   u   s   u	C 0 0 V 0 0 C 0 0 V	185
1522	185	*adentro,en	llenar	Huarayo	doho	None	140	d   o   h   o	doho-		d   o   h   o	C 0 0 V 0 0 C 0 0 V	185
1508	185	*adentro,en	adentro,en	ProtoTakana	duku	None	140	d   u   k   u	duku		d   u   k   u	C 0 0 V 0 0 C 0 0 V	185
1509	185	*adentro,en	entre medio	Tacana	duhu	None	140	d   u   h   u	e-duhu-su		d   u   h   u	C 0 0 V 0 0 C 0 0 V	185
2700	16	*adjective suffix	adjective suffix	Maropa	me	productive	283	m   e	-me		m   e	C 0 0 V	16
2697	16	*adjective suffix	adjective suffix	ProtoTakana	me	productive	283	m   e	-me		m   e	C 0 0 V	16
2699	16	*adjective suffix	adjective suffix	Reyesano	me	productive	283	m   e	-me		m   e	C 0 0 V	16
2701	16	*adjective suffix	adjective suffix	Sapibokona	me	productive	283	m   e	-me		m   e	C 0 0 V	16
2698	16	*adjective suffix	adjective suffix	Tacana	me	rare	283	m   e	-me		m   e	C 0 0 V	16
1360	169	*adjectivizing suffix	adjectivizing suffix	Cavinena	da	None	127	d   a	-da		d   a	C 0 0 V	169
1357	169	*adjectivizing suffix	adjectivizing suffix	ProtoTakana	da	None	127	d   a	da		d   a	C 0 0 V	169
1358	169	*adjectivizing suffix	adjectivizing suffix	Tacana	da	None	127	d   a	-da		d   a	C 0 0 V	169
2307	273	*afilado	filoso	Cavinena	kʷero	None	239	k ʷ   e   r   o	kwero-da		k ʷ   e   r   o	C 0 0 0 V 0 0 C 0 0 V	273
2305	273	*afilado	afilado	ProtoTakana	kʷeru	None	239	k ʷ   e   r   u	kweru		k ʷ   e   r   u	C 0 0 0 V 0 0 C 0 0 V	273
2306	273	*afilado	afilado	Tacana	keu	None	239	k   e     u	keu-da		k   e   -   u	C 0 0 V 0 0 0 0 V	273
1800	208	*agarrar	coger,salvar,sostener,agarrar	Cavinena	ina	None	166	i   n   a	ina-		i   n   a	V 0 0 C 0 0 V	208
1804	208	*agarrar	agarrar,recibir	EseEjja	iɲa	None	166	i   ɲ   a	iña-		i   ɲ   a	V 0 0 C 0 0 V	208
1795	208	*agarrar	agarrar	ProtoTakana	ina	None	166	i   n   a	ina-		i   n   a	V 0 0 C 0 0 V	208
1796	208	*agarrar	agarrar	Tacana	ina	None	166	i   n   a	ina-		i   n   a	V 0 0 C 0 0 V	208
2048	10	*agent nominalizer suffix	nominalizing suffix \lo que _\	Cavinena	ke	None	209	k   e	-ke		k   e	C 0 0 V	10
2046	10	*agent nominalizer suffix	agent nominalizer suffix	ProtoTakana	ke	None	209	k   e	-ke		k   e	C 0 0 V	10
2047	10	*agent nominalizer suffix	agent nominalizer suffix	Tacana	he	None	209	h   e	-he		h   e	C 0 0 V	10
4279	461	*agua	agua	Araona	uβi	None	451	u   β   i	euvi		u   β   i	V 0 0 C 0 0 V	461
4281	461	*agua	water	Mabenaro	owi	None	451	o   w   i	eowi		o   w   i	V 0 0 C 0 0 V	461
4276	461	*agua	water	Maropa	uβi	None	451	u   β   i	yúvi	Heath1883 Nordenskiöld1905	u   β   i	V 0 0 C 0 0 V	461
4273	461	*agua	agua	ProtoTakana	uwi	cf. *awi	451	u   w   i	uwi		u   w   i	V 0 0 C 0 0 V	461
4280	461	*agua	water	Reyesano	oβi	None	451	o   β   i	y-obhi		o   β   i	V 0 0 C 0 0 V	461
4277	461	*agua	acqua	Sapibokona	ubi	None	451	u   b   i	eubi		u   b   i	V 0 0 C 0 0 V	461
4274	461	*agua	agua	Tacana	aβi	None	451	a   β   i	y-awi		a   β   i	V 0 0 C 0 0 V	461
2902	327	*agua,lluvia,río	water	Arasa	na	None	305	n   a	éna		n   a	C 0 0 V	327
2880	327	*agua,lluvia,río	agua	Cavinena	na	None	305	n   a	e-na		n   a	C 0 0 V	327
2901	327	*agua,lluvia,río	blood or liquid	Chama	na	None	305	n   a	éna		n   a	C 0 0 V	327
2890	327	*agua,lluvia,río	agua,lluvio,río	EseEjja	na	None	305	n   a	e-na		n   a	C 0 0 V	327
2864	327	*agua,lluvia,río	agua,lluvia,río	ProtoTakana	na	None	305	n   a	na+...		n   a	C 0 0 V	327
2879	327	*agua,lluvia,río	stream	Reyesano	na	None	305	n   a	e-na-mbakwi		n   a	C 0 0 V	327
2865	327	*agua,lluvia,río	río	Tacana	na	None	305	n   a	e-na		n   a	C 0 0 V	327
2858	332	*aguado	aguado	Cavinena	naki	None	305	n   a   k   i	naki		n   a   k   i	C 0 0 V 0 0 C 0 0 V	332
2859	332	*aguado	menstruar	EseEjja	naxi	None	305	n   a   x   i	naxi poa-		n   a   x   i	C 0 0 V 0 0 C 0 0 V	332
2856	332	*aguado	aguado	ProtoTakana	naki	None	305	n   a   k   i	naki		n   a   k   i	C 0 0 V 0 0 C 0 0 V	332
2857	332	*aguado	aguado,con agua	Tacana	nahi	None	305	n   a   h   i	nahi		n   a   h   i	C 0 0 V 0 0 C 0 0 V	332
4479	482	*ahogar	ahogar	Cavinena	βidi	None	473	β   i   d   i	widi-		β   i   d   i	C 0 0 V 0 0 C 0 0 V	482
4480	482	*ahogar	ahogar	EseEjja	wii	None	473	w   i     i	wii-		w   i   -   i	C 0 0 V 0 0 0 0 V	482
4477	482	*ahogar	ahogar	ProtoTakana	widi	None	473	w   i   d   i	widi-		w   i   d   i	C 0 0 V 0 0 C 0 0 V	482
4478	482	*ahogar	ahogar	Tacana	βidi	None	473	β   i   d   i	widi-		β   i   d   i	C 0 0 V 0 0 C 0 0 V	482
518	91	*ajoajo	ajoajo	Cavinena	baawa	None	32	b   a     a   w   a	baawa-na		b   a   -   a   w   a	C 0 0 V 0 0 0 0 V 0 0 C 0 0 V	91
516	91	*ajoajo	ajoajo	ProtoTakana	baʔawa	None	32	b   a   ʔ   a   w   a	baʔawa		b   a   ʔ   a   w   a	C 0 0 V 0 0 C 0 0 V 0 0 C 0 0 V	91
517	91	*ajoajo	ajoajo (árbol)	Tacana	bua	None	32	b   u     a    	bua		b   u   -   a   -   -	C 0 0 V 0 0 0 0 V 0 0 0 0	91
837	109	*ají	ají	Cavinena	biho	None	67	b   i   h   o	biho		b   i   h   o	C 0 0 V 0 0 C 0 0 V	109
838	109	*ají	ají	Huarayo	biʃo	None	67	b   i   ʃ   o	bišo		b   i   ʃ   o	C 0 0 V 0 0 C 0 0 V	109
834	109	*ají	ají	ProtoTakana	biʃu	None	67	b   i   ʃ   u	biju		b   i   ʃ   u	C 0 0 V 0 0 C 0 0 V	109
836	109	*ají	chile,chili pepper	Reyesano	m.biʃo	None	67	m . b   i   ʃ   o	mbišo		m . b   i   ʃ   o	C 0 C 0 0 V 0 0 C 0 0 V	109
835	109	*ají	ají	Tacana	biɽu	None	67	b   i   ɽ   u	biřu		b   i   ɽ   u	C 0 0 V 0 0 C 0 0 V	109
2907	329	*ala	wing	Maropa	nam.bai	None	306	n   a   m . b   a   i	ennambai	Heath1883	n   a   m . b   a   i	C 0 0 V 0 0 C 0 C 0 0 V 0 0 V	329
2903	329	*ala	ala	ProtoTakana	nabai	None	306	n   a   b   a   i	nabai		n   a   b   a   i	C 0 0 V 0 0 C 0 0 V 0 0 V	329
2906	329	*ala	wing	Reyesano	nam.bai	None	306	n   a   m . b   a   i	e-nambai		n   a   m . b   a   i	C 0 0 V 0 0 C 0 C 0 0 V 0 0 V	329
2904	329	*ala	ala,manga de vestido o camisa	Tacana	nabai	None	306	n   a   b   a   i	e-nabai		n   a   b   a   i	C 0 0 V 0 0 C 0 0 V 0 0 V	329
319	47	*alacrán	alacrán	Cavinena	ahi	None	20	a   h   i	ahi-pa		a   h   i	V 0 0 C 0 0 V	47
320	47	*alacrán	alacrán	EseEjja	ahi	None	20	a   h   i	ahi		a   h   i	V 0 0 C 0 0 V	47
317	47	*alacrán	alacrán	ProtoTakana	asi	None	20	a   s   i	asi		a   s   i	V 0 0 C 0 0 V	47
318	47	*alacrán	alacrán	Tacana	asi	None	20	a   s   i	asi		a   s   i	V 0 0 C 0 0 V	47
4390	473	*algodón	cotton	Arasa	wape	None	463	w   a   p   e	wapéhe		w   a   p   e	C 0 0 V 0 0 C 0 0 V	473
4387	473	*algodón	espuma,otro	EseEjja	wapa	None	463	w   a   p   a	wapa		w   a   p   a	C 0 0 V 0 0 C 0 0 V	473
4382	473	*algodón	algodón	ProtoTakana	wapa	None	463	w   a   p   a	wap{a/e}		w   a   p   a	C 0 0 V 0 0 C 0 0 V	473
4385	473	*algodón	cotton	Reyesano	wape	None	463	w   a   p   e	wapedhe		w   a   p   e	C 0 0 V 0 0 C 0 0 V	473
4383	473	*algodón	blando,esponjado	Tacana	wapa	None	463	w   a   p   a	wapa-wapa		w   a   p   a	C 0 0 V 0 0 C 0 0 V	473
2839	316	*almendro	almendro	Cavinena	moke	None	304	m   o   k   e	moke		m   o   k   e	C 0 0 V 0 0 C 0 0 V	316
2836	316	*almendro	almendro	ProtoTakana	muke	or *makiwe (?) | There is uncertainty in regards to both protoforms on the ID in the source	304	m   u   k   e	mu...ke		m   u   k   e	C 0 0 V 0 0 C 0 0 V	316
2837	316	*almendro	castaña,almendro	Tacana	muhe	None	304	m   u   h   e	muihe		m   u   h   e	C 0 0 V 0 0 C 0 0 V	316
3143	352	*amargo	amargo	Cavinena	patse	None	332	p   a   t s   e	pace-da		p   a   t s   e	C 0 0 V 0 0 C C 0 0 V	352
3146	352	*amargo	amargo	EseEjja	pase	None	332	p   a   s   e	kea-pase		p   a   s   e	C 0 0 V 0 0 C 0 0 V	352
3147	352	*amargo	amargo	Huarayo	pase	None	332	p   a   s   e	kia-pase		p   a   s   e	C 0 0 V 0 0 C 0 0 V	352
3141	352	*amargo	amargo	ProtoTakana	paʈʂe	None	332	p   a   ʈ ʂ   e	pac̣e		p   a   ʈ ʂ   e	C 0 0 V 0 0 C C 0 0 V	352
3142	352	*amargo	amargo	Tacana	paʈʂe	None	332	p   a   ʈ ʂ   e	pace-da		p   a   ʈ ʂ   e	C 0 0 V 0 0 C C 0 0 V	352
3495	521	*amarrar,atar	atada	Cavinena	risi	None	372	r   i   s   i	e-risi		r   i   s   i	C 0 0 V 0 0 C 0 0 V	521
3490	521	*amarrar,atar	amarrar,atar	ProtoTakana	ɽisi	None	372	ɽ   i   s   i	řisi		ɽ   i   s   i	C 0 0 V 0 0 C 0 0 V	521
3491	521	*amarrar,atar	cosa para amarrar	Tacana	risi	None	372	r   i   s   i	e-risi-hi		r   i   s   i	C 0 0 V 0 0 C 0 0 V	521
323	48	*amigo	amigo,pariente,vecino,paisano	Cavinena	ata	None	21	a   t   a	ata		a   t   a	V 0 0 C 0 0 V	48
321	48	*amigo	amigo	ProtoTakana	ata	None	21	a   t   a	ata		a   t   a	V 0 0 C 0 0 V	48
322	48	*amigo	barrio,parcialidad	Tacana	ata	None	21	a   t   a	ata		a   t   a	V 0 0 C 0 0 V	48
75	46	*andar	andar	Cavinena	ahe	None	1	a   h   e	ahe-		a   h   e	V 0 0 C 0 0 V	46
78	46	*andar	errar	EseEjja	aho	cognate?	1	a   h   o	aho-		a   h   o	V 0 0 C 0 0 V	46
74	46	*andar	walk	Maropa	aθe	None	1	a   θ   e	aθe		a   θ   e	V 0 0 C 0 0 V	46
68	46	*andar	andar	ProtoTakana	ase	see also *se	1	a   s   e	ase		a   s   e	V 0 0 C 0 0 V	46
73	46	*andar	walk	Reyesano	ade	None	1	a   d   e	ade-neti		a   d   e	V 0 0 C 0 0 V	46
69	46	*andar	andar	Tacana	ase	None	1	a   s   e	ase-		a   s   e	V 0 0 C 0 0 V	46
3044	345	*andar	corva,plegar	Cavinena	nu	None	319	n   u	nuka	Armentia1887	n   u	C 0 0 V	345
3048	345	*andar	doblarse (el plátano)	EseEjja	no	None	319	n   o	xa-no-či-ki-		n   o	C 0 0 V	345
3040	345	*andar	doblar	ProtoTakana	nu	None	319	n   u	nu-		n   u	C 0 0 V	345
3041	345	*andar	andar y regreser	Tacana	nu	None	319	n   u	nu-a-ti-		n   u	C 0 0 V	345
3329	378	*andar	ir	Araona	puti	None	354	p   u   t   i	putibu		p   u   t   i	C 0 0 V 0 0 C 0 0 V	378
3332	378	*andar	brinco,corcovo,exigencia,fogosidad	Cavinena	puti	None	354	p   u   t   i	puti	Armentia1887	p   u   t   i	C 0 0 V 0 0 C 0 0 V	378
3340	378	*andar	going	Chama	poki	None	354	p   o   k   i	pókiani		p   o   k   i	C 0 0 V 0 0 C 0 0 V	378
3337	378	*andar	fuirse rápido	EseEjja	poki	None	354	p   o   k   i	poki-kwahi-		p   o   k   i	C 0 0 V 0 0 C 0 0 V	378
3328	378	*andar	go	Maropa	puti	None	354	p   u   t   i	púti	Heath1883	p   u   t   i	C 0 0 V 0 0 C 0 0 V	378
3320	378	*andar	andar	ProtoTakana	puti	None	354	p   u   t   i	puti		p   u   t   i	C 0 0 V 0 0 C 0 0 V	378
3327	378	*andar	go	Reyesano	puti	None	354	p   u   t   i	puti-he		p   u   t   i	C 0 0 V 0 0 C 0 0 V	378
3321	378	*andar	andar	Tacana	puti	None	354	p   u   t   i	puti-		p   u   t   i	C 0 0 V 0 0 C 0 0 V	378
3786	416	*anillo	anillo,sortija	Cavinena	tara	None	406	t   a   r   a	me-tara		t   a   r   a	C 0 0 V 0 0 C 0 0 V	416
3782	416	*anillo	anillo	ProtoTakana	taɽa	loan?	406	t   a   ɽ   a	tařa		t   a   ɽ   a	C 0 0 V 0 0 C 0 0 V	416
3785	416	*anillo	ring	Reyesano	tara	None	406	t   a   r   a	me-tara		t   a   r   a	C 0 0 V 0 0 C 0 0 V	416
3783	416	*anillo	anillo	Tacana	tara	None	406	t   a   r   a	me-tara		t   a   r   a	C 0 0 V 0 0 C 0 0 V	416
3013	343	*anima,espíritu,corazón	furor	Cavinena	nihu	None	318	n   i   h   u	nihu-amiku	Armentia1887	n   i   h   u	C 0 0 V 0 0 C 0 0 V	343
3003	343	*anima,espíritu,corazón	anima,espíritu,corazón	ProtoTakana	niʃu	Regarding the ID_in_Source: or *ini-?	318	n   i   ʃ   u	niju		n   i   ʃ   u	C 0 0 V 0 0 C 0 0 V	343
3007	343	*anima,espíritu,corazón	anima	Sapibokona	nisu	None	318	n   i   s   u	einisu		n   i   s   u	C 0 0 V 0 0 C 0 0 V	343
3004	343	*anima,espíritu,corazón	anima de uno,sombra,espíritu	Tacana	niɽu	None	318	n   i   ɽ   u	e-niřu		n   i   ɽ   u	C 0 0 V 0 0 C 0 0 V	343
3886	433	*apagar	apagado	Cavinena	tiko	None	419	t   i   k   o	e-tiko		t   i   k   o	C 0 0 V 0 0 C 0 0 V	433
3888	433	*apagar	apagar	EseEjja	kixo	None	419	k   i   x   o	kixo-yo-		k   i   x   o	C 0 0 V 0 0 C 0 0 V	433
3883	433	*apagar	apagar	ProtoTakana	tiku	None	419	t   i   k   u	tiku		t   i   k   u	C 0 0 V 0 0 C 0 0 V	433
3884	433	*apagar	se va a apagar	Tacana	tihu	None	419	t   i   h   u	e-tihu	Armentia1887	t   i   h   u	C 0 0 V 0 0 C 0 0 V	433
3478	519	*apretar	arrugado	Cavinena	ribi	cognate?	372	r   i   b   i	ribi-ribi		r   i   b   i	C 0 0 V 0 0 C 0 0 V	519
3474	519	*apretar	apretar	ProtoTakana	ɽibi	None	372	ɽ   i   b   i	řibi		ɽ   i   b   i	C 0 0 V 0 0 C 0 0 V	519
3475	519	*apretar	trampa con cordel para animales	Tacana	ribi	None	372	r   i   b   i	ribi		r   i   b   i	C 0 0 V 0 0 C 0 0 V	519
4792	987	*araña	araña	ProtoTakana	ʃetete	cf. *je-(wi)	190	ʃ   e   t   e   t   e	jetete		ʃ   e   t   e   t   e	C 0 0 V 0 0 C 0 0 V 0 0 C 0 0 V	987
4794	987	*araña	spider	Reyesano	letete		190	l   e   t   e   t   e	letete		l   e   t   e   t   e	C 0 0 V 0 0 C 0 0 V 0 0 C 0 0 V	987
4793	987	*araña	araña,apasanca	Tacana	ɽetete	Concept 'apasanca' taken from Armentia	190	ɽ   e   t   e   t   e	řetete		ɽ   e   t   e   t   e	C 0 0 V 0 0 C 0 0 V 0 0 C 0 0 V	987
1405	175	*ardilla	ardilla,masi	Cavinena	dawapa	None	133	d   a   w   a   p   a	dawapa		d   a   w   a   p   a	C 0 0 V 0 0 C 0 0 V 0 0 C 0 0 V	175
1403	175	*ardilla	ardilla	ProtoTakana	dawapa	None	133	d   a   w   a   p   a	dawa-pa		d   a   w   a   p   a	C 0 0 V 0 0 C 0 0 V 0 0 C 0 0 V	175
1404	175	*ardilla	ardilla	Tacana	dawapa	None	133	d   a   w   a   p   a	dawapa		d   a   w   a   p   a	C 0 0 V 0 0 C 0 0 V 0 0 C 0 0 V	175
2705	304	*arma	ajeno	Cavinena	metse	None	284	m   e   t s   e	mece-kike		m   e   t s   e	C 0 0 V 0 0 C C 0 0 V	304
2702	304	*arma	arma	ProtoTakana	meʈʂe	None	284	m   e   ʈ ʂ   e	mece		m   e   ʈ ʂ   e	C 0 0 V 0 0 C C 0 0 V	304
2703	304	*arma	arma	Tacana	meʈʂe	None	284	m   e   ʈ ʂ   e	mece		m   e   ʈ ʂ   e	C 0 0 V 0 0 C C 0 0 V	304
1334	165	*aro	mango,cabo	Cavinena	tsore	None	123	t s   o   r   e	e-core		t s   o   r   e	C C 0 0 V 0 0 C 0 0 V	165
1332	165	*aro	aro	ProtoTakana	ʈʂure	None	123	ʈ ʂ   u   r   e	c̣ure-		ʈ ʂ   u   r   e	C C 0 0 V 0 0 C 0 0 V	165
1333	165	*aro	aro	Tacana	ʈʂue	None	123	ʈ ʂ   u     e	e-cue		ʈ ʂ   u   -   e	C C 0 0 V 0 0 0 0 V	165
2801	317	*arrancar,desplumar	desherber,despreocupar	Cavinena	mutsu	None	296	m   u   t s   u	mucu-mucu	Armentia1887	m   u   t s   u	C 0 0 V 0 0 C C 0 0 V	317
2797	317	*arrancar,desplumar	arrancar,desplumar	ProtoTakana	muʈʂu	None	296	m   u   ʈ ʂ   u	muc̣u-		m   u   ʈ ʂ   u	C 0 0 V 0 0 C C 0 0 V	317
2798	317	*arrancar,desplumar	arrancar	Tacana	muʈʂu	None	296	m   u   ʈ ʂ   u	mucu-		m   u   ʈ ʂ   u	C 0 0 V 0 0 C C 0 0 V	317
