# Wordlist

# DATA
ID	DOCULECT	CONCEPT_NAME	CONCEPT	TOKENS	FORM	COGID	ALIGNMENT
4964	Katukina	ankle	ANKLE	p u ʂ k u	tapuʂku	276	p u ʂ k u
4966	Kaxinawa	ankle	ANKLE	p u ʃ k u	hupúʃku	276	p u ʃ k u
4967	Marinawa	ankle	ANKLE	p o ʂ k o	ópoʂko	276	p o ʂ k o
4958	Marubo	ankle	ANKLE	p u ʂ ɨ	taˈpuʂɨ	276	p u ʂ - ɨ
4956	Proto-Panoan	ankle	ANKLE	p o ʂ k o	poʂko	276	p o ʂ k o
4963	Sharanawa	ankle	ANKLE	p o ʂ k o	opoʂko	276	p o ʂ k o
4960	Yaminawa	ankle	ANKLE	p o ʂ k o	opoʂko	276	p o ʂ k o
4969	Yawanawa	ankle	ANKLE	p u ʃ k u	upuʃˈku	276	p u ʃ k u
#
5647	Amawaka	anteater	ANTEATER	x a ʔ ɨ	xaʔɨ	328	x a ʔ ɨ
5642	Chakobo	anteater	ANTEATER	ʂ a ʔ ɨ	ʂaʔɨ	328	ʂ a ʔ ɨ
5640	Kapanawa	anteater	ANTEATER	ʂ a ʔ ɨ	ʂaʔɨ	328	ʂ a ʔ ɨ
5646	Katukina	anteater	ANTEATER	ʂ a ɨ	ʂaɨ	328	ʂ a - ɨ
5648	Kaxinawa	anteater	ANTEATER	ʂ a ɨ	ʂaɨ	328	ʂ a - ɨ
5652	Korubo	anteater	ANTEATER	ʃ a ɨ	ʃaɨ	328	ʃ a - ɨ
5649	Marinawa	anteater	ANTEATER	ʂ a ɨ	ʂaɨ́́	328	ʂ a - ɨ
5641	Marubo	anteater	ANTEATER	ʃ a ɨ	ʃaɨ	328	ʃ a - ɨ
5653	Matis	anteater	ANTEATER	ʂ a ɨ	ʂaɨ	328	ʂ a - ɨ
5655	Mayoruna	anteater	ANTEATER	ʂ a ɨ	ʂaɨ	328	ʂ a - ɨ
5650	Poyanawa	anteater	ANTEATER	h a i	hay	328	h a - i
5637	Proto-Panoan	anteater	ANTEATER	ʂ a ʔ ɨ	ʂaʔɨ	328	ʂ a ʔ ɨ
5645	Shanenawa	anteater	ANTEATER	s a ɨ	saɨ	328	s a - ɨ
5643	Sharanawa	anteater	ANTEATER	ʂ a ɨ	ʂaɨ	328	ʂ a - ɨ
5639	ShipiboKonibo	anteater	ANTEATER	ʂ a ɨ	ʂaɨ	328	ʂ a - ɨ
5651	Yawanawa	anteater	ANTEATER	ʂ a ɨ	ʂaˈɨ	328	ʂ a - ɨ
#
5011	Amawaka	arm	ARM	p o j a ~	põyã_I	279	p o j a ~
5002	Chakobo	arm	ARM	p o j a m	poyámɨ	279	p o j a m
5005	Chaninawa	arm	ARM	p o j a n	póyan	279	p o j a n
5000	Kapanawa	arm	ARM	p o j a n	poyán	279	p o j a n
5008	Katukina	arm	ARM	p u j a n	puyan	279	p u j a n
5012	Kaxinawa	arm	ARM	p u j a ~	puyã	279	p u j a ~
5013	Marinawa	arm	ARM	p o j a ~	poyã	279	p o j a ~
5001	Marubo	arm	ARM	p u ɐ ~	puˈɐ̃	279	p u - ɐ ~
5010	Poyanawa	arm	ARM	p u j a ~	puyã	279	p u j a ~
4997	Proto-Panoan	arm	ARM	p o j a m	poyam	279	p o j a m
5006	Sharanawa	arm	ARM	p o j a n	poyan	279	p o j a n
4999	ShipiboKonibo	arm	ARM	p o j a ~	poyã_o_põyã	279	p o j a ~
5003	Yaminawa	arm	ARM	p o j a	põya	279	p o j a -
5016	Yawanawa	arm	ARM	p u j a	puia-uma	279	p u j a -
#
4267	Amawaka	to come, to arrive	ARRIVE	h o	ho-	222	h o
4259	Chakobo	to come, to arrive	ARRIVE	h o	ho-	222	h o
4262	Chaninawa	to come, to arrive	ARRIVE	o	oi	222	- o
4255	Kakataibo	to come, to arrive	ARRIVE	o	o-	222	- o
4257	Kapanawa	to come, to arrive	ARRIVE	h o	ho-	222	h o
4266	Katukina	to come, to arrive	ARRIVE	h u	hu-ai	222	h u
4260	Kaxarari	to come, to arrive	ARRIVE	h u	hu-	222	h u
4268	Kaxinawa	to come, to arrive	ARRIVE	h u	hu-	222	h u
4269	Marinawa	to come, to arrive	ARRIVE	o	ó-	222	- o
4258	Marubo	to come, to arrive	ARRIVE	u	ūă	222	- u
4254	Proto-Panoan	to come, to arrive	ARRIVE	h o	ho-	222	h o
4265	Shanenawa	to come, to arrive	ARRIVE	u	u-	222	- u
4263	Sharanawa	to come, to arrive	ARRIVE	o	oi	222	- o
4256	ShipiboKonibo	to come, to arrive	ARRIVE	h o	ho-	222	h o
4261	Yaminawa	to come, to arrive	ARRIVE	o	o-kĩ	222	- o
4270	Yawanawa	to come, to arrive	ARRIVE	u	u-	222	- u
#
2497	Marubo	arrow	ARROW	k a ~	kãti	77	k a ~ -
4737	Amawaka	arrow	ARROW	p i j a	piya_I	257	p i j a
4728	Chakobo	arrow	ARROW	p i a	pia	257	p i - a
4732	Chaninawa	arrow	ARROW	p i a	pia	257	p i - a
4725	Kakataibo	arrow	ARROW	p i a	pia	257	p i - a
4736	Katukina	arrow	ARROW	p i a	pia	257	p i - a
4729	Kaxarari	arrow	ARROW	p i j a	piˈja	257	p i j a
4738	Kaxinawa	arrow	ARROW	p i a	pia	257	p i - a
4739	Marinawa	arrow	ARROW	p i a	pia	257	p i - a
4743	Mayoruna	arrow	ARROW	p i a	pia	257	p i - a
4724	Proto-Panoan	arrow	ARROW	p i a	pia	257	p i - a
4735	Shanenawa	arrow	ARROW	p i a	pia	257	p i - a
4733	Sharanawa	arrow	ARROW	p i a	pia	257	p i - a
4726	ShipiboKonibo	arrow	ARROW	p i a	pia	257	p i - a
4730	Yaminawa	arrow	ARROW	p i a	pia	257	p i - a
4740	Yawanawa	arrow	ARROW	p i a	pia	257	p i - a
6477	Marubo	arrow	ARROW	t a w a	ˈtawa	394	t a w a
#
2952	Amawaka	ash, gray	ASH	k o r o	koro	112	k o r o
2950	Chakobo	ash, gray	ASH	k o r o	koro	112	k o r o
2944	Kakataibo	ash, gray	ASH	k o r o	kweẽkoro	112	k o r o
2948	Kapanawa	ash, gray	ASH	k o r o	koro	112	k o r o
2951	Katukina	ash, gray	ASH	k u r u	kuru	112	k u r u
2953	Kaxinawa	ash, gray	ASH	k u d u	kudu	112	k u d u
2954	Marinawa	ash, gray	ASH	k o r o	kóró	112	k o r o
2949	Marubo	ash, gray	ASH	k o r o	koro	112	k o r o
2956	Matis	ash, gray	ASH	k u ɾ u	kuɾu	112	k u ɾ u
2957	Mayoruna	ash, gray	ASH	k u ɾ u	kuˈɾu	112	k u ɾ u
2943	Proto-Panoan	ash, gray	ASH	k o ɽ o	koɽo	112	k o ɽ o
2947	ShipiboKonibo	ash, gray	ASH	k o r o	koro	112	k o r o
3283	Kaxarari	ash, gray	ASH	m a p u ʔ	mapuˈʔu	140	m a p u ʔ
#
5096	Amawaka	to be ashamed, to feel ashamed	ASHAMED	r a w i	rawitɨnɨ_I	285	r a w i -
5091	Chakobo	to be ashamed, to feel ashamed	ASHAMED	r a β i	raβi-	285	r a β i -
5088	Kakataibo	to be ashamed, to feel ashamed	ASHAMED	r a b i	rabi-	285	r a b i -
5090	Kapanawa	to be ashamed, to feel ashamed	ASHAMED	r a β i n	raβín-	285	r a β i n
5095	Katukina	to be ashamed, to feel ashamed	ASHAMED	r a β i n	raβinnai	285	r a β i n
5097	Kaxinawa	to be ashamed, to feel ashamed	ASHAMED	d a b i	dabi-	285	d a b i -
5098	Marinawa	to be ashamed, to feel ashamed	ASHAMED	r a ɸ i	ráɸi-	285	r a ɸ i -
5100	Matis	to be ashamed, to feel ashamed	ASHAMED	d a b i n	dabin-kin	285	d a b i n
5087	Proto-Panoan	to be ashamed, to feel ashamed	ASHAMED	ɽ a β i rⁿ	ɽaβi[n]-	285	ɽ a β i rⁿ
5093	Sharanawa	to be ashamed, to feel ashamed	ASHAMED	r a ɸ i	raɸi	285	r a ɸ i -
5089	ShipiboKonibo	to be ashamed, to feel ashamed	ASHAMED	r a β i	raβi-	285	r a β i -
5092	Yaminawa	to be ashamed, to feel ashamed	ASHAMED	r a ɸ i ~	raɸĩ-kĩ	285	r a ɸ i ~
5099	Yawanawa	to be ashamed, to feel ashamed	ASHAMED	ɾ a β i	ɾaβi	285	ɾ a β i -
#
7207	Amawaka	to ask	ASK (INQUIRE)	j o k a	yokaa-_I	456	j o k a
7200	Kakataibo	to ask	ASK (INQUIRE)	ɲ o k a	ñoká-	456	ɲ o k a
7202	Kapanawa	to ask	ASK (INQUIRE)	j o k a	yoká-	456	j o k a
7208	Kaxinawa	to ask	ASK (INQUIRE)	j u k a	yuka-	456	j u k a
7209	Marinawa	to ask	ASK (INQUIRE)	j o k a	yókã-	456	j o k a
7199	Proto-Panoan	to ask	ASK (INQUIRE)	j o k a	yoka-	456	j o k a
7206	Shanenawa	to ask	ASK (INQUIRE)	j u k a	yuka	456	j u k a
7204	Sharanawa	to ask	ASK (INQUIRE)	j o k a	yokain	456	j o k a
7201	ShipiboKonibo	to ask	ASK (INQUIRE)	j o k a	yoká-	456	j o k a
7203	Yaminawa	to ask	ASK (INQUIRE)	j o k a	yõka-kĩ	456	j o k a
#
3373	Amawaka	atop	ATOP	m a x k a	máxkaa	147	m a x k a -
3370	Chakobo	atop	ATOP	m a ʂ k a tʃ	maʂkátʃa	147	m a ʂ k a tʃ
3375	Kaxinawa	atop	ATOP	m a ʂ k a	maʂka	147	m a ʂ k a -
3376	Mayoruna	atop	ATOP	m a ʂ k a d	maʂˈkad	147	m a ʂ k a d
3366	Proto-Panoan	atop	ATOP	m a ʂ k a t	maʂka[t]	147	m a ʂ k a t
3371	Sharanawa	atop	ATOP	m a ʂ k a	maʂkanan	147	m a ʂ k a -
3368	ShipiboKonibo	atop	ATOP	m a ʂ k a	maʂká	147	m a ʂ k a -
#
5397	Amawaka	axe	AXE	r o ɨ	rowɨ_I	307	r o ɨ
5390	Kakataibo	axe	AXE	r o ɨ	roɨ	307	r o ɨ
5392	Kapanawa	axe	AXE	r o ɨ	rowɨ	307	r o ɨ
5395	Katukina	axe	AXE	ɾ u i	ɾui	307	ɾ u i
5398	Kaxinawa	axe	AXE	d u ɨ	duɨ	307	d u ɨ
5399	Marinawa	axe	AXE	r o ɨ	rowɨ	307	r o ɨ
5393	Marubo	axe	AXE	r u ɨ	ˈruɨ	307	r u ɨ
5401	Matis	axe	AXE	d u ɨ	duɨ	307	d u ɨ
5402	Mayoruna	axe	AXE	d u ɨ	duɨ	307	d u ɨ
5389	Proto-Panoan	axe	AXE	ɽ o ɨ	ɽoɨ	307	ɽ o ɨ
5394	Shanenawa	axe	AXE	ɾ u ɨ	ɾuɨ	307	ɾ u ɨ
5391	ShipiboKonibo	axe	AXE	r o ɨ	roɨ	307	r o ɨ
5400	Yawanawa	axe	AXE	r u ɨ	ruˈɨ	307	r u ɨ
7054	Amawaka	axe	AXE	j a m i	yami_I	443	j a m i
7049	Chaninawa	axe	AXE	j a b i	yami	443	j a b i
7047	Kapanawa	axe	AXE	j a m i	yami	443	j a m i
7055	Kaxinawa	axe	AXE	j a m i	yami	443	j a m i
7056	Marinawa	axe	AXE	j a m i	yami	443	j a m i
7053	Poyanawa	axe	AXE	j a m i	iamĩbapu	443	j a m i
7045	Proto-Panoan	axe	AXE	j a m i	yami	443	j a m i
7051	Sharanawa	axe	AXE	j a m i	yami	443	j a m i
7046	ShipiboKonibo	axe	AXE	j a m i	yami	443	j a m i
7048	Yaminawa	axe	AXE	j a m i	yami	443	j a m i
#
2387	Amawaka	back	BACK	k a t ɨ	katɨ́	69	k a - t ɨ
2379	Chakobo	back	BACK	k a t ɨ	katɨ	69	k a - t ɨ
2382	Chaninawa	back	BACK	k a t ɨ	kato	69	k a - t ɨ
2378	Kapanawa	back	BACK	k a ʔ t ɨ	kaʔtɨ	69	k a ʔ t ɨ
2380	Kaxarari	back	BACK	k a t a	ˈkatapu	69	k a - t a
2388	Kaxinawa	back	BACK	k a t ɨ	katɨ	69	k a - t ɨ
2389	Marinawa	back	BACK	k a t ɨ	katɨ	69	k a - t ɨ
2390	Matis	back	BACK	k a	kaʂuku	69	k a - - -
2386	Poyanawa	back	BACK	k a t ɨ	katɨhaw	69	k a - t ɨ
2377	Proto-Panoan	back	BACK	k a ʔ t ɨ	kaʔtɨ	69	k a ʔ t ɨ
2384	Sharanawa	back	BACK	k a t ɨ	katɨ	69	k a - t ɨ
2381	Yaminawa	back	BACK	k a t ɨ	kati	69	k a - t ɨ
2632	Kakataibo	back	BACK	k a	ka-ʂo	85	k a
2645	Matis	back	BACK	k a	ka-ʂuku	85	k a
#
1907	Amawaka	back part	BACK (PART)	tʃ i p o	tʃípo	32	tʃ i p o
1903	Chakobo	back part	BACK (PART)	tʃ i p o	tʃípo	32	tʃ i p o
1899	Kakataibo	back part	BACK (PART)	tʃ i p o	tʃipṍmi	32	tʃ i p o
1901	Kapanawa	back part	BACK (PART)	tʃ i p o	tʃipónki	32	tʃ i p o
1906	Katukina	back part	BACK (PART)	tʃ i p u	tʃipu	32	tʃ i p u
1910	Kaxinawa	back part	BACK (PART)	tʃ i p u	tʃipu	32	tʃ i p u
1911	Marinawa	back part	BACK (PART)	tʃ i p o	tʃipo	32	tʃ i p o
1902	Marubo	back part	BACK (PART)	tʃ i p o	tʃipo	32	tʃ i p o
1898	Proto-Panoan	back part	BACK (PART)	tʃ i p o	tʃipo	32	tʃ i p o
1905	Sharanawa	back part	BACK (PART)	tʃ i p o	tʃipo	32	tʃ i p o
1900	ShipiboKonibo	back part	BACK (PART)	tʃ i p o	tʃipṍki	32	tʃ i p o
#
2621	Chakobo	bat	BAT	k a ʃ i	kaʃi_I	84	k a ʃ i
2614	Kakataibo	bat	BAT	k a ʃ a	kaʃa	84	k a ʃ a
2620	Kapanawa	bat	BAT	k a ʃ i	kaʃi	84	k a ʃ i
2623	Kaxarari	bat	BAT	k a ʃ i	kaʃiˈwa	84	k a ʃ i
2628	Kaxinawa	bat	BAT	k a ʃ i	kaʃi	84	k a ʃ i
2629	Marinawa	bat	BAT	k a ʃ i	kaʃi	84	k a ʃ i
2613	Proto-Panoan	bat	BAT	k a ʃ i	kaʃi	84	k a ʃ i
2626	Shanenawa	bat	BAT	k a ʂ i	kaʂi	84	k a ʂ i
2624	Sharanawa	bat	BAT	k a ʂ i	kaʂi	84	k a ʂ i
2619	ShipiboKonibo	bat	BAT	k a ʃ i	kaʃi	84	k a ʃ i
2630	Yawanawa	bat	BAT	k a ʃ i	kaʃi	84	k a ʃ i
2852	ShipiboKonibo	bat	BAT	k o k i ʃ	kõkíʃ	104	k o k i ʃ
2884	Amawaka	bat	BAT	k o k o s	kokos_I	107	k o k o s -
2885	Marinawa	bat	BAT	k o k o ʃ i	kókoʃi	107	k o k o ʃ i
2883	Proto-Panoan	bat	BAT	k o k o ʃ i	koko[ʃs]i	107	k o k o ʃ i
#
3834	Amawaka	to bathe, to take a bath	BATHE	n a ʃ i	naʃi-_I	185	n a ʃ i
3826	Chakobo	to bathe, to take a bath	BATHE	a ʃ i	aʃi-	185	- a ʃ i
3828	Chaninawa	to bathe, to take a bath	BATHE	d a ʃ i	daʃi	185	d a ʃ i
3822	Kakataibo	to bathe, to take a bath	BATHE	n a ʃ i	naʃi-	185	n a ʃ i
3824	Kapanawa	to bathe, to take a bath	BATHE	n a ʂ i	naʂi-	185	n a ʂ i
3833	Katukina	to bathe, to take a bath	BATHE	n a ʃ i	naʃi	185	n a ʃ i
3835	Kaxinawa	to bathe, to take a bath	BATHE	n a ʃ i	naʃi-	185	n a ʃ i
3836	Marinawa	to bathe, to take a bath	BATHE	n a ʃ i	naʃi-	185	n a ʃ i
3825	Marubo	to bathe, to take a bath	BATHE	n a ʂ i	naʂi	185	n a ʂ i
3838	Matis	to bathe, to take a bath	BATHE	n e s	nes-_kin	185	n e s -
3839	Mayoruna	to bathe, to take a bath	BATHE	n e s	nes	185	n e s -
3821	Proto-Panoan	to bathe, to take a bath	BATHE	rⁿ a s i	[n]as[i]-	185	rⁿ a s i
3832	Shanenawa	to bathe, to take a bath	BATHE	n a ʃ i	naʃi	185	n a ʃ i
3830	Sharanawa	to bathe, to take a bath	BATHE	n a ʂ i	naʂi	185	n a ʂ i
3823	ShipiboKonibo	to bathe, to take a bath	BATHE	n a ʃ i	naʃi-	185	n a ʃ i
3827	Yaminawa	to bathe, to take a bath	BATHE	n a ʃ i	naʃi	185	n a ʃ i
3837	Yawanawa	to bathe, to take a bath	BATHE	n a ʃ i	naʃi	185	n a ʃ i
#
2291	Amawaka	beard	BEARD	k ɨ n i	kɨni	62	k ɨ n i
2285	Chakobo	beard	BEARD	k ɨ n i	kɨni	62	k ɨ n i
2281	Kakataibo	beard	BEARD	kʷ ɨ n i	kwɨni	62	kʷ ɨ n i
2283	Kapanawa	beard	BEARD	k ɨ n i	kɨni	62	k ɨ n i
2290	Katukina	beard	BEARD	k ɨ n i	kɨni	62	k ɨ n i
2292	Kaxinawa	beard	BEARD	kʷ i	kui	62	kʷ i - -
2284	Marubo	beard	BEARD	k ɨ n i	ˈkɨni	62	k ɨ n i
2296	Matis	beard	BEARD	kʷ i n i	kuini	62	kʷ i n i
2280	Proto-Panoan	beard	BEARD	kʷ ɨ rⁿ i	kwɨ[n]i	62	kʷ ɨ rⁿ i
2282	ShipiboKonibo	beard	BEARD	k ɨ n i	kɨni	62	k ɨ n i
2354	Chaninawa	beard	BEARD	k ɨ ʃ d i	kɨʃdi	66	k ɨ ʃ d i
2359	Kaxinawa	beard	BEARD	k ɨ ʂ n i	kɨʂni	66	k ɨ ʂ n i
2360	Marinawa	beard	BEARD	k ɨ ʂ n i	kɨ́ʂní	66	k ɨ ʂ n i
2362	Mayoruna	beard	BEARD	kʷ i ʃ b u	kuiʃbu	66	kʷ i ʃ b u
2358	Poyanawa	beard	BEARD	k u h d i	kũhdi	66	k u h d i
2351	Proto-Panoan	beard	BEARD	kʷ ɨ ʂ rⁿ i	kwɨʂ[n]i	66	kʷ ɨ ʂ rⁿ i
2356	Sharanawa	beard	BEARD	k ɨ ʂ n i	kɨʂni	66	k ɨ ʂ n i
2352	ShipiboKonibo	beard	BEARD	k ɨ ʂ n i	kɨʂni	66	k ɨ ʂ n i
2361	Yawanawa	beard	BEARD	k ɨ ʂ n i	kɨʂni	66	k ɨ ʂ n i
#
1579	Amawaka	bee wax	BEESWAX	w o i	wowí_I	4	w o i -
1576	Chakobo	bee wax	BEESWAX	β o i	βoítʃo	4	β o i -
1573	Kakataibo	bee wax	BEESWAX	β o i	βoí	4	β o i -
1575	Kapanawa	bee wax	BEESWAX	β o i	βoí	4	β o i -
1582	Katukina	bee wax	BEESWAX	β u i	βui-ʃuma	4	β u i -
1581	Kaxinawa	bee wax	BEESWAX	b u i	bui	4	b u i -
1580	Marinawa	bee wax	BEESWAX	ɸ o i	ɸói	4	ɸ o i -
1584	Mayoruna	bee wax	BEESWAX	b u i d	buˈid	4	b u i d
1572	Proto-Panoan	bee wax	BEESWAX	β o i tʳ	βoi[Cc]	4	β o i tʳ
1583	Yawanawa	bee wax	BEESWAX	m u i	mui_ʃuma	4	m u i -
#
3747	Amawaka	below, under	BELOW OR UNDER	n a m a ~	nãmã	179	n a m a ~
3741	Chakobo	below, under	BELOW OR UNDER	n a m a	nama	179	n a m a -
3735	Kakataibo	below, under	BELOW OR UNDER	n a m a ~	namã	179	n a m a ~
3738	Kapanawa	below, under	BELOW OR UNDER	n a m a n	namán	179	n a m a n
3748	Kaxinawa	below, under	BELOW OR UNDER	n a m a ~	namã	179	n a m a ~
3749	Marinawa	below, under	BELOW OR UNDER	n a m a ~	nãmã	179	n a m a ~
3739	Marubo	below, under	BELOW OR UNDER	n a m a ~	-namã	179	n a m a ~
3734	Proto-Panoan	below, under	BELOW OR UNDER	n a m a	nama	179	n a m a -
3746	Shanenawa	below, under	BELOW OR UNDER	n a m a n	naman	179	n a m a n
3745	Sharanawa	below, under	BELOW OR UNDER	n a m a n	naman	179	n a m a n
3737	ShipiboKonibo	below, under	BELOW OR UNDER	n a m a ~	namã	179	n a m a ~
3744	Yaminawa	below, under	BELOW OR UNDER	n a m a ~	namã	179	n a m a ~
3750	Yawanawa	below, under	BELOW OR UNDER	n ɨ m ɨ	nɨmɨri	179	n ɨ m ɨ -
#
