ID	Concept	ProtoTakana	Predicted	Form	AlternativeForm	MeaningPredicted	Evaluation	Comment	Speaker
162	*oler	ʃiɽu	s[i/ɨ]no	ʂɨtɨ-ti			absent		Wilian Ochavano
164	*araña	ʃetete	sɨ[t/ts/tʃ]ɨ[t/ts/tʃ]ɨ	ʃinakoʂo			absent		Wilian Ochavano
165	*espiga	za	ʃa	tɨʂkan			absent		Wilian Ochavano
166	*extender	pi	p[i/ɨ]	hanβis-ti			absent		Wilian Ochavano
167	*apretar	ɽibi	n[i/ɨ]β[i/ɨ]	patʃo-ti			absent		Wilian Ochavano
169	*golpear	paʃa	pasa	timai			absent		Wilian Ochavano
170	*hinchar	musa	mosa	soi-ti			absent		Wilian Ochavano
173	*delgado	kʷesa	[k/w]ɨsa	wiriʃ			absent		Wilian Ochavano
174	*cosa	aʔikʷana	[a/hi]ʔ[i/ɨ][k/w]ana	hawɨki			absent		Wilian Ochavano
175	*desgranar	iɽuɽu	[i/ɨ]nono	ʂɨmo-ti			absent		Wilian Ochavano
176	*garganta	naɽa	nana	tɨtón			absent		Wilian Ochavano
177	*arrojar	bata	βa[t/ts/tʃ]a	kɨna-ti		vomit	absent		Wilian Ochavano
178	*echar	ʃu	so	pota-ti			absent		Wilian Ochavano
185	*orina	wira	ɽ[i/ɨ]na	hisón			absent		Wilian Ochavano
187	*cintura	tima	[t/ts/tʃ][i/ɨ]ma	pitɨskɨn			absent		Wilian Ochavano
189	*aguado	naki	nak[i/ɨ]	tʃawá			absent		Wilian Ochavano
195	*húmedo,mojado	naka	naka	mɨtʃá			absent		Wilian Ochavano
197	*ala	nabai	naβa[i/ɨ]	pɨi			absent		Wilian Ochavano
199	*mujer	wane	ɽanɨ	awin			absent		Wilian Ochavano
205	*hermano menor	ʃau	sao	wɨtsa tʃiní			absent		Wilian Ochavano
206	*hermana menor	ʃana	sana	poi tʃiní			absent		Wilian Ochavano
18	*cuerpo	kʷita	[k/w][i/ɨ][t/ts/tʃ]a	yora	kɨta	in protected space	doubtful		Eli Sánchez
29	*centro	tipa	[t/ts/tʃ][i/ɨ]pa	napon	tɨpa-ti	lead canoe by hand through middle of river	doubtful		Eli Sánchez
49	*abajo	ma	ma	naman			doubtful		Eli Sánchez
61	*primero	kʷene	[k/w]ɨnɨ	rɨkɨn			doubtful	check if first segment means something	Eli Sánchez
73	*rana	wawa	ɽaɽa	aʃa			doubtful		Eli Sánchez
122	*palmera	ʈʂiripa	ʂ[i/ɨ]n[i/ɨ]pa	ʂɨβón	nɨpá	cutting grass	doubtful		Wilian Ochavano
127	*persuadir	amere	[a/hi]mɨnɨ	hɨma-ti			doubtful		Wilian Ochavano
181	*caerse	u	o	pakɨ-ti	ho-ti	come	doubtful		Wilian Ochavano
192	*tejer	ʈʂipi	ʂ[i/ɨ]p[i/ɨ]	ʂɨwa-ti			doubtful		Wilian Ochavano
196	*silbar	ui	o[i/ɨ]	ʂoini-ti			doubtful		Wilian Ochavano
28	*llevar	dus	ros	βo-ti			error		Eli Sánchez
43	*venado	dukʷeri	ro[k/w]ɨr[i/ɨ]	tʃaʂo			error		Eli Sánchez
52	*ahogar	widi	ɽ[i/ɨ]r[i/ɨ]	rɨtɨ-ti			error		Eli Sánchez
86	*colgar	bade	βarɨ	panin-ti			error		Eli Sánchez
95	*adentro,en	duku	roko	tʃitʃó			error		Wilian Ochavano
106	*hombre	deka	nɨka	βɨmβo			error		Wilian Ochavano
141	*resina	madi	mar[i/ɨ]	ʃawi			error		Wilian Ochavano
148	*raspar	dede	rɨrɨ	wɨʂa-ti			error		Wilian Ochavano
168	*palo	da	ra	hiwi			error		Wilian Ochavano
172	*tatú	ʈʂudi	ʂor[i/ɨ]	kɨnɨ́			error		Wilian Ochavano
182	*pavo	tedu	[t/ts/tʃ]ɨro				error		Wilian Ochavano
186	*pueblo	kude	korɨ	hɨma			error		Wilian Ochavano
203	*envolver	dunu	rono	káwa-ti			error		Wilian Ochavano
60	*uña	tiʃi	[t/ts/tʃ][i/ɨ]s[i/ɨ]	mɨn-tsis			exclude	is part of ValZar (fingernail)	Eli Sánchez
66	*carne,cuerpo	rami	nam[i/ɨ]	nami		flesh	exclude		Eli Sánchez
8	*autoridad	waɽa	ɽana	ɽana-ti		command	full match		Eli Sánchez
19	*rama,gajo	jaʔa	saʔa	ʃama	saʔa-ti	divide in twiɡs	full match		Eli Sánchez
47	*enfermedad	nere	nɨnɨ	isí	nɨnɨ	pain	full match		Eli Sánchez
51	*tomar,beber	iʃi	[i/ɨ]s[i/ɨ]	ʂɨ-ati			full match		Eli Sánchez
62	*barbasco	aʈʂa	[a/hi]ʂa	aʂa			full match		Eli Sánchez
76	*ir	kʷa	[k/w]a	ka-ti			full match		Eli Sánchez
81	*abuelo	baba	βaβa	papa-ʃɨ	βaβa	grandson	full match	Also: /βaβa/ is grandfather in Isconahua	Eli Sánchez
92	*gancho	ʈʂewe	ʂɨɽɨ	miʃki-ti	ʂɨrɨ-ati	cast fish hook	full match		Wilian Ochavano
102	*luz	ue	oɨ	hoɨ	hoɨ	light (radiation)	full match		Wilian Ochavano
108	*muela	amaka	[a/hi]maka	maka tʃipo	maka tʃipo		full match	tʃipo means ‘behind’, maka has no meaning whena lone	Jeiser Suarez
117	*nariz	wi	ɽ[i/ɨ]	ɽɨ-kin			full match		Wilian Ochavano
131	*puerco espín	iʃa	[i/ɨ]sa	isá			full match		Wilian Ochavano
132	*tirar,jalar	ɽiɽe	n[i/ɨ]rɨ	nini-ti			full match		Wilian Ochavano
163	*sembrar	bana	βana	βana-ti			full match		Wilian Ochavano
179	*tucán	ʈʂukʷe	ʂo[k/w]ɨ	ʂokɨ			full match		Wilian Ochavano
180	*tucán	piʈʂa	p[i/ɨ]ʂa	pisa		toucan	full match		Wilian Ochavano
193	*pesar	tupu	[t/ts/tʃ]opo	iwɨ topo-n-ti			full match		Wilian Ochavano
201	*gusano	ʈʂena	ʂɨna	ʂɨna			full match		Wilian Ochavano
15	*amargo	paʈʂe	paʂɨ	moka	paɨ	sour	full match	friccative dropped	Eli Sánchez
27	*cargar	abu	[a/hi]βo	papi-ti	βo-ti	carry in hand	full match	first syllable missing	Eli Sánchez
7	*tía	nene	nɨnɨ	wata, natʃi	nɨnɨ	pain	no match		Eli Sánchez
9	*bambú	penena	pɨnɨna	paka	pɨnɨ	back pain	no match		Eli Sánchez
10	*canasta	ʃiti	s[i/ɨ][t/ts/tʃ][i/ɨ]	tasá	sɨtɨ	create bubbles at a tree	no match		Eli Sánchez
11	*vivo	iʃe	[i/ɨ]sɨ	jati	ɨsɨ-ti	recommend, suggest	no match		Eli Sánchez
13	*detrás,atrás	tibe	[t/ts/tʃ][i/ɨ]βɨ	pekao	tɨwɨ	work! (imp)	no match		Eli Sánchez
14	*creer	ke	kɨ	ikona-ti	kɨ-ti	defend	no match		Eli Sánchez
17	*azul,verde	zawa	ʃaɽa	yankon	ʃaɽa	wasp	no match		Eli Sánchez
20	*traer	keti	kɨ[t/ts/tʃ][i/ɨ]	bɨ-ti	kɨ-ti	impend, block	no match		Eli Sánchez
23	*cuñado	ʃakʷi	sa[k/w][i/ɨ]	tʃai	saki	shiver	no match		Eli Sánchez
24	*quemar	tiru	[t/ts/tʃ][i/ɨ]no	mɨno-ti	tʃino-ti	introduce tip of arrow to arrow	no match		Eli Sánchez
25	*monte	kike	k[i/ɨ]kɨ	nii	kɨkɨ	nightmare	no match		Eli Sánchez
31	*medio	patia	pa[t/ts/tʃ][i/ɨ]a	napon	patɨa	hear rumours	no match		Eli Sánchez
34	*chonta	mare	manɨ	panán	manɨ	to miss something or somebody	no match		Eli Sánchez
39	*esquina	ʈʂuku	ʂoko	iskɨn	ʂoko	species of tree	no match		Eli Sánchez
40	*correcto,verdadero	neri	nɨn[i/ɨ]	ikon	není	area for cooking banana	no match		Eli Sánchez
54	*oreja	iʃa	[i/ɨ]sa	paβiki	isa	porguin	no match		Eli Sánchez
64	*espinas	kʷi	[k/w][i/ɨ]	japa ʂao			no match	‘bone of fish’	Eli Sánchez
65	*puño	pu	po	kɨn-tonko			no match		Eli Sánchez
78	*bajar	bute	βo[t/ts/tʃ]ɨ	naman-kati			no match	many forms with /ßo/ e.g. in Isconahua	Eli Sánchez
82	*nieta,nieto	uʈʂekʷa	oʂɨ[k/w]a	βaβa	oʂɨ-ka	new moon	no match		Eli Sánchez
96	*isla	zapupu	ʃapopo	nasi	ʂapo	light (weight)	no match		Wilian Ochavano
104	*largo	baru	βano	nɨkɨ́	wano	female name	no match		Wilian Ochavano
107	*mezclar	wa	ɽa	mɨsko-ti	ʂan-ti	indicate	no match		Wilian Ochavano
112	*rata,ratón	site	s[i/ɨ][t/ts/tʃ]ɨ	ʂoja	ʂɨtɨ	buzzard	no match		Wilian Ochavano
118	*obscuro	apu	[a/hi]po	jamɨ́	apo	chief	no match		Wilian Ochavano
119	*hermano mayor	usi	os[i/ɨ]	wɨtsa ɨkɨ́n	oʃi	skinny	no match		Wilian Ochavano
126	*sudor,sudar	weruru	ɽɨnono	niskan-ti	ɽɨno-ti	nose picking	no match		Wilian Ochavano
134	*dejar,poner	ija	[i/ɨ]sa	nia-ti	isá	porcupine	no match		Wilian Ochavano
142	*descansar	kana	kana	tanti-ti	kana	species of parrot	no match		Wilian Ochavano
151	*vergüenza	bizu	β[i/ɨ]ʃo	raβin	βɨʃo-ti	peel	no match		Wilian Ochavano
156	*gritar	ʈʂea	ʂɨa	sai-ti			no match		Wilian Ochavano
161	*parecido	bata	βa[t/ts/tʃ]a	haskariβi	βata	aunt	no match		Wilian Ochavano
183	*tío	ku	ko	ɨpa	ko	pus	no match		Wilian Ochavano
184	*desatar	pizu	p[i/ɨ]ʃo	tʃoro-ti	pɨʂo	back	no match		Wilian Ochavano
188	*agua	uwi	oɽ[i/ɨ]	ompáʃ	ori	there	no match		Wilian Ochavano
191	*arma	meʈʂe	mɨʂɨ	toati	mɨʂɨ́	something taken out	no match		Wilian Ochavano
198	*mujer	anu	[a/hi]no	aimβo	ano	majás (lowland paca)	no match		Wilian Ochavano
200	*mundo	awa	[a/hi]ɽa	nɨtɨ	ara	rough	no match		Wilian Ochavano
202	*lombriz	tunu	[t/ts/tʃ]ono	noin	tsonó	drops	no match		Wilian Ochavano
136	*conejo	wakuru	ɽakono				not attested	confirmed by two speakers	Wilian Ochavano
146	*cicatriz	ʃipi	s[i/ɨ]p[i/ɨ]				not attested	confirmed by two speakers	Wilian Ochavano
190	*cera	wini	ɽ[i/ɨ]n[i/ɨ]				not attested		Wilian Ochavano
194	*pozo	kani	kan[i/ɨ]				not attested		Wilian Ochavano
26	*mariposa	sababa	saβaβa	pɨnpɨn	sawawa	centipede (species)	possible	very agile species, fast movements	Eli Sánchez
71	*amigo	ata	[a/hi][t/ts/tʃ]a	tʃan			possible		Eli Sánchez
80	*grano	ʈʂu	ʂo	βɨ-ɽo			possible	unsure if /ɽ/ or /r/	Eli Sánchez
103	*jausi,lagartija	banakʷa	βana[k/w]a	ʂanβo	naka	mosquito	possible	semantic stretch	Wilian Ochavano
140	*caña	ta	[t/ts/tʃ]a	tawa			possible	Tacana has forms that are /tawa/, but correspondence of /w/ should be /r/	Wilian Ochavano
152	*afilado	kʷeru	[k/w]ɨno	kɨnʃoa	kɨnʃo-ti	sharpen	possible	explain second syllable	Wilian Ochavano
157	*gritar	keke	kɨkɨ	kɨkɨ		nightmare	semantic stretch		Wilian Ochavano
171	*hincharse	ʃeke	sɨkɨ	soi-ti	sɨkɨ́	broken	semantic stretch		Wilian Ochavano
79	*salir,llegar	kʷina	[k/w][i/ɨ]na	piko-ti	wina-ti	to row	semantic stretch		Eli Sánchez
97	*unir,juntar	zita	ʃ[i/ɨ][t/ts/tʃ]a	tsinki-titi	ʃita-ti	to cross	semantic stretch		Wilian Ochavano
2	*avisar	kʷeisa	[k/w]ɨ[i/ɨ]sa	kɨʃa-n-ti	kɨʃa-n-ti	announce	slight deviation		Eli Sánchez
16	*soplar	wu	ɽo	payatai	ʂo-na-ti	blow (of person)	slight deviation	different friccative	Eli Sánchez
105	*largo	ʃunu	sono	nɨkɨ́	ʃono	lupuna (tree species)	slight deviation	semantic stretch	Wilian Ochavano
111	*cerro	mata	ma[t/ts/tʃ]a	manán	mató	hill	unclear		Wilian Ochavano
114	*ombligo	ʈʂuʔu	ʂoʔo	poko-tɨʂo			unclear		Wilian Ochavano
120	*abrir	ʃea	sɨa	ʂɨpɨn-ti			unclear		Wilian Ochavano
129	*pampa	aʈʂi	[a/hi]ʂ[i/ɨ]	masɨnɨn			unclear	check for morphemes	Jeiser Suarez
138	*barranco	kʷei	[k/w]ɨ[i/ɨ]	kɨtó			unclear		Wilian Ochavano
204	*sí	eʔe	ɨʔɨ	hɨhɨn			unclear		Wilian Ochavano
